,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,CoinName,class
42,Scrypt,PoW/PoS,41.99995383,42,-0.3402105337098303,1.112811737923679,-0.4565373348318531,42 Coin,0
404,Scrypt,PoW/PoS,1055184902.04,532000000,-0.3235451504737371,1.1130205362573171,-0.45659643137195954,404Coin,0
1337,X13,PoW/PoS,29279424622.5027,314159265359,2.3105380917400926,1.661528772239376,-0.5004571317602577,EliteCoin,0
BTC,SHA-256,PoW,17927175.0,21000000,-0.1474876072596269,-1.3426889019928572,0.15825519998825865,Bitcoin,3
ETH,Ethash,PoW,107684222.6865,0,-0.15503341840599622,-2.1112452523992147,0.3313390478456519,Ethereum,3
LTC,Scrypt,PoW,63039243.3000049,84000000,-0.17316564775762752,-1.063860936297404,0.018013234251036785,Litecoin,3
DASH,X11,PoW/PoS,9031294.37563393,22000000,-0.3846356110350449,1.1940565941236263,-0.48573355966274717,Dash,0
XMR,CryptoNight-V7,PoW,17201143.1449131,0,-0.14861082829648609,-2.3066118512959077,0.3988030016877659,Monero,3
ETC,Ethash,PoW,113359703.0,210000000,-0.1534758671936703,-2.111340152746968,0.3313323347236173,Ethereum Classic,3
ZEC,Equihash,PoW,7383056.25,21000000,-0.12954764564346113,-2.0556567368951923,0.23402773822646125,ZCash,3
BTS,SHA-512,PoS,2741570000.0,3600570502,-0.23726093365382783,1.5434886221334507,0.05025189309460056,Bitshares,0
DGB,Multiple,PoW,11406219141.0,21000000000,0.1541075507330353,-1.8180519371973556,0.32758731936764146,DigiByte,3
BTCD,SHA-256,PoW/PoS,1288862.0,22000000,-0.31336307003214375,0.8339643953562385,-0.31629986985044073,BitcoinDark,0
XPY,SHA-256,PoS,11995334.8847328,12500000,-0.2715765916757301,0.6009877227916192,-0.09896079297785057,PayCoin,0
PRC,Scrypt,PoW,5768310.0,21000000,-0.1743120070475568,-1.0638564494793692,0.018017495354934614,ProsperCoin,3
KOBO,X15,PoW/PoS,25542535.5881841,350000000,-0.22868694289044425,1.8725759160929991,-0.6032782059387702,KoboCoin,0
SPR,X11,PoW,11149733.9976203,20000000,-0.21894468065930747,-0.982602506435246,-0.011177871769794796,Spreadcoin,3
ARG,Scrypt,PoW,12205795.4449549,64000000,-0.17392861026237888,-1.06387360460734,0.018015907428949138,Argentum,3
